open_time,close_time,direction,lots,entry,exit,pnl,r_multiple,confidence,exit_reason
2015-12-31 16:00:00,2016-01-04 04:00:00,sell,0.04,1061.23,1068.75,-30.09,-1.04,high,stop_loss
2016-01-04 08:00:00,2016-01-04 12:00:00,sell,0.04,1071.15,1079.5,-33.39,-1.03,high,stop_loss
2016-01-04 16:00:00,2016-01-05 08:00:00,sell,0.03,1077.64,1080.93,-9.87,-0.35,high,trail_stop
2016-01-05 12:00:00,2016-01-06 08:00:00,sell,0.03,1079.53,1084.38,-14.57,-0.53,high,trail_stop
2016-01-06 12:00:00,2016-01-06 16:00:00,sell,0.03,1084.77,1094.57,-29.39,-1.03,high,stop_loss
2016-01-06 20:00:00,2016-01-07 12:00:00,sell,0.03,1093.45,1104.62,-33.5,-1.02,med,stop_loss
2016-01-07 16:00:00,2016-01-08 16:00:00,sell,0.02,1102.5,1104.46,-3.91,-0.16,med,trail_stop
2016-01-08 20:00:00,2016-01-13 16:00:00,sell,0.02,1102.15,1093.3,17.7,0.67,low,trail_stop
2016-01-13 20:00:00,2016-01-15 04:00:00,sell,0.02,1093.3,1084.78,17.03,0.65,low,trail_stop
2016-01-15 08:00:00,2016-01-15 12:00:00,sell,0.02,1084.06,1097.14,-26.17,-1.02,low,stop_loss
2016-01-15 16:00:00,2016-01-20 08:00:00,sell,0.02,1090.13,1096.66,-13.06,-0.47,low,trail_stop
2016-01-20 12:00:00,2016-01-20 16:00:00,sell,0.03,1094.82,1105.26,-31.32,-1.03,low,stop_loss
2016-01-20 20:00:00,2016-01-25 04:00:00,sell,0.03,1103.09,1103.81,-2.14,-0.06,low,trail_stop
2016-02-04 08:00:00,2016-02-05 12:00:00,buy,0.03,1142.05,1149.59,22.63,0.7,low,trail_stop
2016-02-05 16:00:00,2016-02-08 12:00:00,buy,0.02,1153.91,1191.65,75.48,2.98,low,take_profit
2016-02-08 16:00:00,2016-02-11 12:00:00,buy,0.02,1193.37,1242.87,99.01,2.98,low,take_profit
2016-02-11 16:00:00,2016-02-11 20:00:00,buy,0.01,1246.94,1241.72,-5.22,-0.25,low,trail_stop
2016-02-12 00:00:00,2016-02-15 04:00:00,buy,0.01,1240.48,1217.17,-23.31,-1.01,low,stop_loss
2016-02-15 08:00:00,2016-02-16 04:00:00,buy,0.01,1212.24,1191.05,-21.19,-1.01,med,stop_loss
2016-02-16 08:00:00,2016-02-17 00:00:00,buy,0.01,1195.77,1196.16,0.39,0.02,med,trail_stop
2016-02-17 04:00:00,2016-02-22 00:00:00,buy,0.01,1209.18,1217.46,8.28,0.37,med,trail_stop
2016-02-22 04:00:00,2016-02-24 16:00:00,buy,0.02,1216.81,1234.62,35.62,0.97,med,trail_stop
2016-02-24 20:00:00,2016-02-26 12:00:00,buy,0.01,1229.87,1220.81,-9.06,-0.41,med,trail_stop
2016-02-26 16:00:00,2016-03-02 00:00:00,buy,0.01,1217.24,1226.37,9.13,0.42,med,trail_stop
2016-03-02 04:00:00,2016-03-04 12:00:00,buy,0.02,1227.98,1255.35,54.75,1.43,high,trail_stop
2016-03-04 16:00:00,2016-03-09 12:00:00,buy,0.02,1269.12,1248.9,-40.44,-1.01,high,stop_loss
2016-03-09 16:00:00,2016-03-11 08:00:00,buy,0.02,1253.53,1264.74,22.42,0.58,high,trail_stop
2016-03-11 12:00:00,2016-03-14 12:00:00,buy,0.02,1264.44,1243.94,-41.0,-1.01,high,stop_loss
2016-03-14 16:00:00,2016-03-18 08:00:00,buy,0.02,1243.99,1251.4,14.82,0.39,high,trail_stop
2016-03-18 12:00:00,2016-03-23 00:00:00,buy,0.02,1251.14,1242.39,-17.51,-0.5,med,trail_stop
2016-03-23 04:00:00,2016-03-23 12:00:00,buy,0.02,1241.9,1226.62,-30.57,-1.02,high,stop_loss
2016-03-23 16:00:00,2016-03-30 12:00:00,buy,0.02,1223.46,1227.1,7.28,0.22,high,trail_stop
2016-03-30 16:00:00,2016-04-01 12:00:00,buy,0.02,1226.17,1224.51,-3.31,-0.11,med,trail_stop
